datetime,argosid,latitude,longitude,strain,voltage,sst,checksum,ice_concentration
2019-01-01 00:00:00,145469,61.31,-174.497,30.0,9.2,0.36,1.0,0.0
2019-01-01 01:00:00,145469,61.31,-174.49,30.0,9.2,0.36,1.0,0.0
2019-01-01 02:00:00,145469,61.312,-174.458,35.0,9.2,0.35,1.0,0.0
2019-01-01 03:00:00,145469,61.309,-174.439,35.0,9.2,0.32,1.0,0.0
2019-01-01 04:00:00,145469,61.31,-174.416,35.0,9.2,0.32,1.0,0.0
2019-01-01 05:00:00,145469,61.307,-174.41,33.25,9.2,0.32,1.0,0.0
2019-01-01 06:00:00,145469,61.305,-174.399,28.0,9.2,0.32,1.0,0.0
2019-01-01 07:00:00,145469,61.304,-174.398,28.0,9.2,0.32,1.0,0.0
2019-01-01 08:00:00,145469,61.305,-174.397,28.0,9.2,0.32,1.0,0.0
2019-01-01 09:00:00,145469,61.308,-174.404,28.0,9.2,0.28,1.0,0.0
2019-01-01 10:00:00,145469,61.316,-174.396,32.0,9.2,0.32,1.0,0.0
2019-01-01 11:00:00,145469,61.33,-174.381,32.0,9.2,0.32,1.0,0.0
2019-01-01 13:00:00,145469,61.346,-174.344,32.0,9.2,0.32,1.0,0.0
2019-01-01 14:00:00,145469,61.35,-174.314,31.0,9.2,0.28,1.0,0.0
2019-01-01 15:00:00,145469,61.358,-174.306,31.0,9.2,0.32,1.0,0.0
2019-01-01 16:00:00,145469,61.359,-174.276,31.0,9.2,0.3,1.0,0.0
2019-01-01 17:00:00,145469,61.358,-174.247,31.0,9.2,0.3,1.0,0.0
2019-01-01 18:00:00,145469,61.353,-174.239,29.0,9.2,0.32,1.0,0.0
2019-01-01 19:00:00,145469,61.355,-174.223,29.0,9.2,0.32,1.0,0.0
2019-01-01 20:00:00,145469,61.352,-174.212,29.0,9.2,0.32,1.0,0.0
2019-01-01 21:00:00,145469,61.35,-174.207,29.0,9.2,0.32,1.0,0.0
2019-01-01 22:00:00,145469,61.348,-174.192,28.0,9.2,0.32,1.0,0.0
2019-01-01 23:00:00,145469,61.351,-174.199,28.0,9.2,0.32,1.0,0.0
2019-01-02 00:00:00,145469,61.352,-174.18,28.0,9.2,0.31,1.0,0.0
2019-01-02 01:00:00,145469,61.354,-174.156,28.67,9.2,0.32,1.0,0.0
2019-01-02 02:00:00,145469,61.353,-174.143,30.0,9.2,0.32,1.0,0.0
2019-01-02 03:00:00,145469,61.351,-174.128,30.0,9.0,0.28,1.0,0.0
2019-01-02 04:00:00,145469,61.348,-174.119,30.0,9.13,0.28,1.0,0.0
2019-01-02 05:00:00,145469,61.347,-174.114,30.0,9.2,0.28,1.0,0.0
2019-01-02 06:00:00,145469,61.341,-174.112,34.0,9.2,0.28,1.0,0.0
2019-01-02 07:00:00,145469,61.344,-174.108,34.0,9.2,0.28,1.0,0.0
2019-01-02 08:00:00,145469,61.335,-174.127,34.0,9.2,0.28,1.0,0.0
2019-01-02 09:00:00,145469,61.335,-174.136,34.0,9.2,0.28,1.0,0.0
2019-01-02 11:00:00,145469,61.337,-174.145,26.0,9.2,0.24,1.0,0.0
2019-01-02 12:00:00,145469,61.354,-174.169,26.0,9.2,0.24,1.0,0.0
2019-01-02 14:00:00,145469,61.358,-174.156,23.0,9.2,0.14,1.0,0.0
2019-01-02 15:00:00,145469,61.363,-174.135,23.0,9.2,0.24,1.0,0.0
2019-01-02 16:00:00,145469,61.364,-174.124,23.0,9.2,0.24,1.0,0.0
2019-01-02 17:00:00,145469,61.363,-174.117,23.0,9.2,0.24,1.0,0.0
2019-01-02 18:00:00,145469,61.358,-174.11,22.0,9.2,0.24,1.0,0.0
2019-01-02 19:00:00,145469,61.356,-174.108,22.0,9.2,0.24,1.0,0.0
2019-01-02 20:00:00,145469,61.347,-174.112,22.0,9.0,0.27,1.0,0.0
2019-01-02 21:00:00,145469,61.347,-174.112,22.0,9.1,0.28,1.0,0.0
2019-01-02 22:00:00,145469,61.344,-174.12,27.0,9.2,0.28,1.0,0.0
2019-01-02 23:00:00,145469,61.343,-174.133,27.0,9.2,0.28,1.0,0.0
2019-01-03 00:00:00,145469,61.345,-174.141,27.0,9.2,0.28,1.0,0.0
2019-01-03 01:00:00,145469,61.349,-174.131,27.0,9.2,0.24,1.0,0.0
2019-01-03 02:00:00,145469,61.351,-174.134,26.0,9.2,0.24,1.0,0.0
2019-01-03 03:00:00,145469,61.35,-174.141,26.0,9.2,0.24,1.0,0.0
