year_doy_hhmm,year_doy_hhmm,argosid,latitude,longitude,strain,voltage,sst,checksum
2018-08-13 23:12:00,2018-08-13 23:12:00,139914,71.212,164.269,25.0,10.0,5.00,True
2018-08-13 23:19:00,2018-08-13 23:19:00,139914,71.210,164.262,25.0,10.0,5.00,True
2018-08-14 00:20:00,2018-08-14 00:20:00,139914,71.204,164.267,28.0,10.2,4.92,True
2018-08-14 00:42:00,2018-08-14 00:42:00,139914,71.205,164.274,28.0,10.2,4.88,True
2018-08-14 01:01:00,2018-08-14 01:01:00,139914,71.200,164.263,28.0,10.2,4.92,True
2018-08-14 01:36:00,2018-08-14 01:36:00,139914,71.199,164.276,28.0,10.2,4.96,True
2018-08-14 02:00:00,2018-08-14 02:00:00,139914,71.198,164.288,28.0,10.2,5.00,True
2018-08-14 02:16:00,2018-08-14 02:16:00,139914,71.197,164.279,28.0,10.2,5.00,True
2018-08-14 02:25:00,2018-08-14 02:25:00,139914,71.196,164.272,28.0,10.2,5.00,True
2018-08-14 02:41:00,2018-08-14 02:41:00,139914,71.204,164.288,28.0,10.2,5.04,True
2018-08-14 03:04:00,2018-08-14 03:04:00,139914,71.194,164.270,28.0,10.2,5.00,True
2018-08-14 03:39:00,2018-08-14 03:39:00,139914,71.195,164.293,28.0,10.2,5.00,True
2018-08-14 04:00:00,2018-08-14 04:00:00,139914,71.191,164.274,28.0,10.2,5.00,True
2018-08-14 04:12:00,2018-08-14 04:12:00,139914,71.192,164.294,27.0,10.2,5.00,True
2018-08-14 04:44:00,2018-08-14 04:44:00,139914,71.187,164.284,27.0,10.2,5.04,True
2018-08-14 04:56:00,2018-08-14 04:56:00,139914,71.186,164.285,27.0,10.2,5.08,True
2018-08-14 05:53:00,2018-08-14 05:53:00,139914,71.182,164.275,27.0,10.2,5.08,True
2018-08-14 05:57:00,2018-08-14 05:57:00,139914,71.182,164.281,27.0,10.2,5.08,True
2018-08-14 06:25:00,2018-08-14 06:25:00,139914,71.179,164.269,27.0,10.2,5.12,True
2018-08-14 06:59:00,2018-08-14 06:59:00,139914,71.176,164.294,27.0,10.2,5.08,True
2018-08-14 07:23:00,2018-08-14 07:23:00,139914,71.177,164.271,27.0,10.2,5.08,True
2018-08-14 07:38:00,2018-08-14 07:38:00,139914,71.176,164.269,27.0,10.2,5.08,True
2018-08-14 07:59:00,2018-08-14 07:59:00,139914,71.173,164.273,29.0,10.2,5.08,True
2018-08-14 08:25:00,2018-08-14 08:25:00,139914,71.174,164.270,29.0,10.2,5.08,True
2018-08-14 09:08:00,2018-08-14 09:08:00,139914,71.176,164.257,29.0,10.2,5.04,True
2018-08-14 09:20:00,2018-08-14 09:20:00,139914,71.166,164.266,29.0,10.2,5.04,True
2018-08-14 09:37:00,2018-08-14 09:37:00,139914,71.162,164.269,29.0,10.2,5.04,True
2018-08-14 10:08:00,2018-08-14 10:08:00,139914,71.162,164.273,29.0,10.2,5.04,True
2018-08-14 11:08:00,2018-08-14 11:08:00,139914,71.165,164.261,29.0,10.2,5.04,True
2018-08-14 12:52:00,2018-08-14 12:52:00,139914,71.145,164.289,24.0,10.2,5.04,True
2018-08-14 12:53:00,2018-08-14 12:53:00,139914,71.149,164.289,24.0,10.2,5.04,True
2018-08-14 14:16:00,2018-08-14 14:16:00,139914,71.145,164.294,24.0,10.2,5.00,True
2018-08-14 14:38:00,2018-08-14 14:38:00,139914,71.142,164.304,24.0,10.2,5.00,True
2018-08-14 14:33:00,2018-08-14 14:33:00,139914,71.146,164.301,24.0,10.2,5.00,True
2018-08-14 15:22:00,2018-08-14 15:22:00,139914,71.143,164.277,24.0,10.2,5.00,True
2018-08-14 16:00:00,2018-08-14 16:00:00,139914,71.138,164.294,24.0,10.2,5.08,True
2018-08-14 16:17:00,2018-08-14 16:17:00,139914,71.137,164.294,22.0,10.2,5.00,True
2018-08-14 16:17:00,2018-08-14 16:17:00,139914,71.137,164.295,22.0,10.2,5.00,True
2018-08-14 16:15:00,2018-08-14 16:15:00,139914,71.137,164.288,22.0,10.2,4.96,True
2018-08-14 17:04:00,2018-08-14 17:04:00,139914,71.134,164.290,22.0,10.2,4.96,True
2018-08-14 17:43:00,2018-08-14 17:43:00,139914,71.137,164.305,22.0,10.2,5.00,True
2018-08-14 17:58:00,2018-08-14 17:58:00,139914,71.134,164.293,22.0,10.2,5.00,True
