datetime,argosid,latitude,longitude,strain,voltage,sst,checksum,ice_concentration
2018-08-13 23:00:00,139914,71.211,-164.266,25.0,10.0,5.0,1.0,0.0
2018-08-14 00:00:00,139914,71.204,-164.27,28.0,10.2,4.9,1.0,0.0
2018-08-14 01:00:00,139914,71.2,-164.27,28.0,10.2,4.94,1.0,0.0
2018-08-14 02:00:00,139914,71.199,-164.282,28.0,10.2,5.01,1.0,0.0
2018-08-14 03:00:00,139914,71.194,-164.282,28.0,10.2,5.0,1.0,0.0
2018-08-14 04:00:00,139914,71.189,-164.284,27.25,10.2,5.03,1.0,0.0
2018-08-14 05:00:00,139914,71.182,-164.278,27.0,10.2,5.08,1.0,0.0
2018-08-14 06:00:00,139914,71.178,-164.282,27.0,10.2,5.1,1.0,0.0
2018-08-14 07:00:00,139914,71.175,-164.271,27.67,10.2,5.08,1.0,0.0
2018-08-14 08:00:00,139914,71.174,-164.27,29.0,10.2,5.08,1.0,0.0
2018-08-14 09:00:00,139914,71.168,-164.264,29.0,10.2,5.04,1.0,0.0
2018-08-14 10:00:00,139914,71.162,-164.273,29.0,10.2,5.04,1.0,0.0
2018-08-14 11:00:00,139914,71.165,-164.261,29.0,10.2,5.04,1.0,0.0
2018-08-14 12:00:00,139914,71.147,-164.289,24.0,10.2,5.04,1.0,0.0
2018-08-14 14:00:00,139914,71.144,-164.3,24.0,10.2,5.0,1.0,0.0
2018-08-14 15:00:00,139914,71.143,-164.277,24.0,10.2,5.0,1.0,0.0
2018-08-14 16:00:00,139914,71.137,-164.293,22.5,10.2,5.01,1.0,0.0
2018-08-14 17:00:00,139914,71.135,-164.294,22.0,10.2,4.99,1.0,0.0
2018-08-14 18:00:00,139914,71.133,-164.291,22.0,10.2,5.0,1.0,0.0
2018-08-14 19:00:00,139914,71.131,-164.286,22.0,10.2,5.02,1.0,0.0
2018-08-14 20:00:00,139914,71.129,-164.274,22.0,10.2,5.04,1.0,0.0
2018-08-14 21:00:00,139914,71.128,-164.282,22.0,10.2,5.08,1.0,0.0
2018-08-14 22:00:00,139914,71.119,-164.277,22.0,10.2,5.08,1.0,0.0
2018-08-14 23:00:00,139914,71.115,-164.282,22.0,10.2,5.16,1.0,0.0
2018-08-15 00:00:00,139914,71.112,-164.284,27.0,10.2,5.16,1.0,0.0
2018-08-15 01:00:00,139914,71.112,-164.291,27.0,10.2,5.22,1.0,0.0
2018-08-15 02:00:00,139914,71.11,-164.291,27.0,9.8,5.2,1.0,0.0
2018-08-15 03:00:00,139914,71.107,-164.292,27.0,10.07,5.2,1.0,0.0
2018-08-15 04:00:00,139914,71.106,-164.301,26.4,10.2,5.22,1.0,0.0
2018-08-15 05:00:00,139914,71.108,-164.3,26.0,10.2,5.24,1.0,0.0
2018-08-15 06:00:00,139914,71.105,-164.287,26.0,10.2,5.24,1.0,0.0
2018-08-15 07:00:00,139914,71.108,-164.296,26.0,10.2,5.24,1.0,0.0
2018-08-15 08:00:00,139914,71.107,-164.282,26.0,10.2,5.28,1.0,0.0
2018-08-15 09:00:00,139914,71.103,-164.277,26.0,10.2,5.28,1.0,0.0
2018-08-15 12:00:00,139914,71.087,-164.268,30.0,10.0,5.32,1.0,0.0
2018-08-15 14:00:00,139914,71.096,-164.278,30.0,10.2,5.32,1.0,0.0
2018-08-15 15:00:00,139914,71.1,-164.31,30.0,10.2,5.32,1.0,0.0
2018-08-15 16:00:00,139914,71.101,-164.295,32.0,10.2,5.28,1.0,0.0
2018-08-15 17:00:00,139914,71.103,-164.301,32.0,10.2,5.24,1.0,0.0
2018-08-15 18:00:00,139914,71.106,-164.293,32.0,10.2,5.36,1.0,0.0
2018-08-15 19:00:00,139914,71.108,-164.275,32.0,10.2,5.4,1.0,0.0
2018-08-15 20:00:00,139914,71.108,-164.263,29.0,10.2,5.43,1.0,0.0
