year_doy_hhmm,year_doy_hhmm,argosid,latitude,longitude,strain,voltage,sst,checksum
2018-03-02 02:27:00,2018-03-02 02:27:00,136863,59.230,169.660,11.0,14.4,0.88,True
2018-03-02 02:53:00,2018-03-02 02:53:00,136863,59.238,169.651,11.0,14.4,0.88,True
2018-03-02 03:30:00,2018-03-02 03:30:00,136863,59.244,169.644,10.0,14.4,0.88,True
2018-03-02 04:34:00,2018-03-02 04:34:00,136863,59.244,169.627,15.0,14.4,0.88,True
2018-03-02 05:09:00,2018-03-02 05:09:00,136863,59.251,169.613,11.0,14.4,0.88,True
2018-03-02 06:48:00,2018-03-02 06:48:00,136863,59.245,169.598,10.0,14.4,0.88,True
2018-03-02 07:57:00,2018-03-02 07:57:00,136863,59.237,169.601,9.0,14.4,0.88,True
2018-03-02 09:38:00,2018-03-02 09:38:00,136863,59.230,169.612,12.0,14.4,0.84,True
2018-03-02 13:42:00,2018-03-02 13:42:00,136863,59.242,169.681,8.0,14.4,0.84,True
2018-03-02 14:33:00,2018-03-02 14:33:00,136863,59.256,169.678,11.0,14.4,0.80,True
2018-03-02 15:24:00,2018-03-02 15:24:00,136863,59.266,169.693,11.0,14.4,0.84,True
2018-03-02 17:02:00,2018-03-02 17:02:00,136863,59.285,169.658,10.0,14.4,0.84,True
2018-03-02 17:21:00,2018-03-02 17:21:00,136863,59.286,169.644,10.0,14.4,0.84,True
2018-03-02 17:58:00,2018-03-02 17:58:00,136863,59.290,169.633,14.0,14.4,0.84,True
2018-03-02 19:03:00,2018-03-02 19:03:00,136863,59.292,169.622,15.0,14.4,0.84,True
2018-03-02 19:51:00,2018-03-02 19:51:00,136863,59.286,169.602,9.0,14.4,0.84,True
2018-03-02 20:08:00,2018-03-02 20:08:00,136863,59.286,169.605,9.0,14.4,0.84,True
2018-03-02 20:46:00,2018-03-02 20:46:00,136863,59.282,169.588,11.0,14.4,0.84,True
2018-03-02 22:40:00,2018-03-02 22:40:00,136863,59.258,169.586,7.0,14.4,0.88,True
2018-03-03 02:24:00,2018-03-03 02:24:00,136863,59.261,169.646,9.0,14.4,0.88,True
2018-03-03 03:57:00,2018-03-03 03:57:00,136863,59.265,169.651,11.0,14.4,0.88,True
2018-03-03 05:03:00,2018-03-03 05:03:00,136863,59.277,169.636,12.0,14.4,0.88,True
2018-03-03 05:03:00,2018-03-03 05:03:00,136863,59.277,169.634,12.0,14.4,0.88,True
2018-03-03 05:45:00,2018-03-03 05:45:00,136863,59.281,169.618,11.0,14.4,0.88,True
2018-03-03 06:44:00,2018-03-03 06:44:00,136863,59.283,169.601,9.0,14.4,0.88,True
2018-03-03 07:35:00,2018-03-03 07:35:00,136863,59.282,169.581,9.0,14.4,0.88,True
2018-03-03 08:19:00,2018-03-03 08:19:00,136863,59.280,169.588,9.0,14.4,0.84,True
2018-03-03 09:16:00,2018-03-03 09:16:00,136863,59.273,169.581,11.0,14.4,0.84,True
2018-03-03 14:21:00,2018-03-03 14:21:00,136863,59.260,169.655,9.0,14.4,0.84,True
2018-03-03 14:53:00,2018-03-03 14:53:00,136863,59.263,169.666,8.0,14.4,0.84,True
2018-03-03 16:11:00,2018-03-03 16:11:00,136863,59.277,169.650,11.0,14.4,0.84,True
2018-03-03 16:03:00,2018-03-03 16:03:00,136863,59.278,169.648,11.0,14.4,0.84,True
2018-03-03 17:50:00,2018-03-03 17:50:00,136863,59.294,169.629,10.0,14.4,0.84,True
2018-03-03 18:52:00,2018-03-03 18:52:00,136863,59.300,169.606,8.0,14.4,0.84,True
2018-03-03 20:30:00,2018-03-03 20:30:00,136863,59.293,169.582,8.0,14.4,0.84,True
2018-03-03 21:25:00,2018-03-03 21:25:00,136863,59.289,169.579,8.0,14.4,0.84,True
2018-03-03 22:11:00,2018-03-03 22:11:00,136863,59.277,169.572,11.0,14.4,0.84,True
2018-03-03 22:41:00,2018-03-03 22:41:00,136863,59.274,169.571,11.0,14.4,0.84,True
2018-03-03 23:01:00,2018-03-03 23:01:00,136863,59.267,169.567,10.0,14.4,0.84,True
2018-03-04 00:19:00,2018-03-04 00:19:00,136863,59.260,169.602,10.0,14.4,0.84,True
