datetime,argosid,latitude,longitude,strain,voltage,sst,checksum,ice_concentration
2018-03-02 02:00:00,136863,59.234,-169.656,11.0,14.4,0.88,1.0,0.0
2018-03-02 03:00:00,136863,59.244,-169.644,10.0,14.4,0.88,1.0,0.0
2018-03-02 04:00:00,136863,59.244,-169.627,15.0,14.4,0.88,1.0,0.0
2018-03-02 05:00:00,136863,59.251,-169.613,11.0,14.4,0.88,1.0,0.0
2018-03-02 06:00:00,136863,59.245,-169.598,10.0,14.4,0.88,1.0,0.0
2018-03-02 07:00:00,136863,59.237,-169.601,9.0,14.4,0.88,1.0,0.0
2018-03-02 09:00:00,136863,59.23,-169.612,12.0,14.4,0.84,1.0,0.0
2018-03-02 13:00:00,136863,59.242,-169.681,8.0,14.4,0.84,1.0,0.0
2018-03-02 14:00:00,136863,59.256,-169.678,11.0,14.4,0.8,1.0,0.0
2018-03-02 15:00:00,136863,59.266,-169.693,11.0,14.4,0.84,1.0,0.0
2018-03-02 17:00:00,136863,59.287,-169.645,11.33,14.4,0.84,1.0,0.0
2018-03-02 19:00:00,136863,59.289,-169.612,12.0,14.4,0.84,1.0,0.0
2018-03-02 20:00:00,136863,59.284,-169.596,10.0,14.4,0.84,1.0,0.0
2018-03-02 22:00:00,136863,59.258,-169.586,7.0,14.4,0.88,1.0,0.0
2018-03-03 02:00:00,136863,59.261,-169.646,9.0,14.4,0.88,1.0,0.0
2018-03-03 03:00:00,136863,59.265,-169.651,11.0,14.4,0.88,1.0,0.0
2018-03-03 05:00:00,136863,59.278,-169.629,11.67,14.4,0.88,1.0,0.0
2018-03-03 06:00:00,136863,59.283,-169.601,9.0,14.4,0.88,1.0,0.0
2018-03-03 07:00:00,136863,59.282,-169.581,9.0,14.4,0.88,1.0,0.0
2018-03-03 08:00:00,136863,59.28,-169.588,9.0,14.4,0.84,1.0,0.0
2018-03-03 09:00:00,136863,59.273,-169.581,11.0,14.4,0.84,1.0,0.0
2018-03-03 14:00:00,136863,59.262,-169.66,8.5,14.4,0.84,1.0,0.0
2018-03-03 16:00:00,136863,59.278,-169.649,11.0,14.4,0.84,1.0,0.0
2018-03-03 17:00:00,136863,59.294,-169.629,10.0,14.4,0.84,1.0,0.0
2018-03-03 18:00:00,136863,59.3,-169.606,8.0,14.4,0.84,1.0,0.0
2018-03-03 20:00:00,136863,59.293,-169.582,8.0,14.4,0.84,1.0,0.0
2018-03-03 21:00:00,136863,59.289,-169.579,8.0,14.4,0.84,1.0,0.0
2018-03-03 22:00:00,136863,59.275,-169.572,11.0,14.4,0.84,1.0,0.0
2018-03-03 23:00:00,136863,59.267,-169.567,10.0,14.4,0.84,1.0,0.0
2018-03-04 00:00:00,136863,59.26,-169.602,10.0,14.4,0.84,1.0,0.0
2018-03-04 02:00:00,136863,59.256,-169.619,9.0,14.4,0.84,1.0,0.0
2018-03-04 03:00:00,136863,59.268,-169.637,10.0,14.4,0.84,1.0,0.0
2018-03-04 04:00:00,136863,59.275,-169.635,12.5,14.4,0.84,1.0,0.0
2018-03-04 05:00:00,136863,59.286,-169.632,13.0,14.4,0.84,1.0,0.0
2018-03-04 06:00:00,136863,59.288,-169.628,8.0,14.4,0.84,1.0,0.0
2018-03-04 07:00:00,136863,59.294,-169.587,12.0,14.4,0.84,1.0,0.0
2018-03-04 08:00:00,136863,59.296,-169.582,12.0,14.4,0.84,1.0,0.0
2018-03-04 14:00:00,136863,59.27,-169.632,9.0,14.4,0.84,1.0,0.0
2018-03-04 15:00:00,136863,59.287,-169.654,12.0,14.4,0.84,1.0,0.0
2018-03-04 17:00:00,136863,59.307,-169.642,10.0,14.4,0.84,1.0,0.0
2018-03-04 18:00:00,136863,59.313,-169.619,12.0,14.4,0.84,1.0,0.0
2018-03-04 19:00:00,136863,59.319,-169.607,11.0,14.4,0.84,1.0,0.0
2018-03-04 20:00:00,136863,59.319,-169.57,11.0,14.4,0.84,1.0,0.0
2018-03-04 21:00:00,136863,59.32,-169.567,8.0,14.4,0.84,1.0,0.0
2018-03-04 22:00:00,136863,59.305,-169.547,7.0,14.4,0.84,1.0,0.0
2018-03-05 00:00:00,136863,59.291,-169.574,11.0,14.4,0.84,1.0,0.0
2018-03-05 01:00:00,136863,59.288,-169.591,12.0,14.4,0.84,1.0,0.0
2018-03-05 04:00:00,136863,59.301,-169.631,11.0,14.4,0.84,1.0,0.0
2018-03-05 06:00:00,136863,59.32,-169.603,11.0,14.4,0.84,1.0,0.0
2018-03-05 07:00:00,136863,59.324,-169.594,11.0,14.4,0.84,1.0,0.0
2018-03-05 08:00:00,136863,59.329,-169.572,11.0,14.4,0.84,1.0,0.0
2018-03-05 13:00:00,136863,59.307,-169.568,11.0,14.4,0.8,1.0,0.0
2018-03-05 15:00:00,136863,59.31,-169.607,12.0,14.4,0.8,1.0,0.0
2018-03-05 17:00:00,136863,59.326,-169.613,10.67,14.4,0.8,1.0,0.0
2018-03-05 18:00:00,136863,59.342,-169.602,9.0,14.4,0.8,1.0,0.0
2018-03-05 20:00:00,136863,59.355,-169.568,9.33,14.4,0.8,1.0,0.0
2018-03-05 21:00:00,136863,59.359,-169.544,12.0,14.4,0.8,1.0,0.0
2018-03-06 00:00:00,136863,59.344,-169.535,12.0,14.4,0.8,1.0,0.0
2018-03-06 01:00:00,136863,59.338,-169.558,12.0,14.4,0.8,1.0,0.0
2018-03-06 04:00:00,136863,59.347,-169.602,11.0,14.4,0.76,1.0,0.0
2018-03-06 06:00:00,136863,59.375,-169.61,11.0,14.4,0.76,1.0,0.0
2018-03-06 13:00:00,136863,59.386,-169.55,9.5,14.4,0.68,1.0,0.0
2018-03-06 14:00:00,136863,59.377,-169.565,13.0,14.4,0.68,1.0,0.0
2018-03-06 15:00:00,136863,59.376,-169.579,10.0,14.4,0.68,1.0,0.0
2018-03-06 16:00:00,136863,59.381,-169.577,13.0,14.4,0.68,1.0,0.0
2018-03-06 17:00:00,136863,59.383,-169.592,14.0,14.4,0.68,1.0,0.0
2018-03-06 18:00:00,136863,59.388,-169.589,16.0,14.4,0.68,1.0,0.0
2018-03-06 19:00:00,136863,59.404,-169.569,15.0,14.4,0.68,1.0,0.0
2018-03-06 21:00:00,136863,59.407,-169.53,11.0,14.4,0.7,1.0,0.0
2018-03-07 01:00:00,136863,59.394,-169.521,12.0,14.4,0.68,1.0,0.0
2018-03-07 03:00:00,136863,59.385,-169.556,8.0,14.4,0.68,1.0,0.0
2018-03-07 04:00:00,136863,59.386,-169.57,7.0,14.4,0.68,1.0,0.0
2018-03-07 05:00:00,136863,59.4,-169.601,11.0,14.4,0.68,1.0,0.0
2018-03-07 06:00:00,136863,59.404,-169.605,12.0,14.4,0.68,1.0,0.0
2018-03-07 07:00:00,136863,59.42,-169.6,12.5,14.4,0.68,1.0,0.0
2018-03-07 09:00:00,136863,59.434,-169.574,10.0,14.4,0.68,1.0,0.0
2018-03-07 13:00:00,136863,59.43,-169.548,8.0,14.4,0.68,1.0,0.0
2018-03-07 15:00:00,136863,59.419,-169.579,9.0,14.4,0.68,1.0,0.0
2018-03-07 17:00:00,136863,59.42,-169.614,12.0,14.4,0.68,1.0,0.0
2018-03-07 19:00:00,136863,59.434,-169.616,10.0,14.4,0.68,1.0,0.0
2018-03-07 20:00:00,136863,59.434,-169.613,14.0,14.4,0.68,1.0,0.0
2018-03-07 21:00:00,136863,59.444,-169.586,17.0,14.4,0.68,1.0,0.0
2018-03-07 23:00:00,136863,59.447,-169.556,15.0,14.4,0.68,1.0,0.0
2018-03-08 02:00:00,136863,59.418,-169.583,13.0,14.4,0.68,1.0,0.0
2018-03-08 03:00:00,136863,59.417,-169.588,16.0,14.4,0.68,1.0,0.0
2018-03-08 04:00:00,136863,59.411,-169.589,12.0,14.4,0.68,1.0,0.0
2018-03-08 05:00:00,136863,59.42,-169.62,13.67,14.4,0.68,1.0,0.0
2018-03-08 09:00:00,136863,59.453,-169.625,22.0,14.4,0.68,1.0,0.0
2018-03-08 15:00:00,136863,59.45,-169.55,13.0,14.4,0.66,1.0,0.0
2018-03-08 16:00:00,136863,59.438,-169.552,13.0,14.4,0.64,1.0,0.0
2018-03-08 17:00:00,136863,59.44,-169.574,14.0,14.4,0.64,1.0,0.0
2018-03-08 19:00:00,136863,59.444,-169.575,15.0,14.4,0.64,1.0,0.0
2018-03-08 21:00:00,136863,59.454,-169.566,12.0,14.4,0.64,1.0,0.0
2018-03-09 03:00:00,136863,59.451,-169.524,13.0,14.4,0.64,1.0,0.0
2018-03-09 05:00:00,136863,59.452,-169.558,14.5,14.4,0.6,1.0,0.0
2018-03-09 06:00:00,136863,59.468,-169.583,13.0,14.4,0.6,1.0,0.0
2018-03-09 07:00:00,136863,59.468,-169.595,11.0,14.4,0.6,1.0,0.0
2018-03-09 08:00:00,136863,59.493,-169.587,11.0,14.4,0.6,1.0,0.0
2018-03-09 13:00:00,136863,59.527,-169.558,11.0,14.4,0.6,1.0,0.0
2018-03-09 16:00:00,136863,59.518,-169.572,12.0,14.4,0.56,1.0,0.0
2018-03-09 17:00:00,136863,59.517,-169.585,11.0,14.4,0.56,1.0,0.0
2018-03-09 18:00:00,136863,59.51,-169.596,16.0,14.4,0.56,1.0,0.0
2018-03-09 19:00:00,136863,59.518,-169.606,14.0,14.4,0.56,1.0,0.0
2018-03-09 20:00:00,136863,59.524,-169.615,10.0,14.4,0.56,1.0,0.0
2018-03-09 21:00:00,136863,59.526,-169.621,12.0,14.4,0.56,1.0,0.0
2018-03-09 22:00:00,136863,59.539,-169.61,11.0,14.4,0.52,1.0,0.0
2018-03-09 23:00:00,136863,59.541,-169.615,11.0,14.4,0.52,1.0,0.0
2018-03-10 00:00:00,136863,59.547,-169.585,16.0,14.4,0.52,1.0,0.0
2018-03-10 02:00:00,136863,59.54,-169.583,15.0,14.4,0.52,1.0,0.0
2018-03-10 03:00:00,136863,59.539,-169.593,22.0,14.4,0.52,1.0,0.0
2018-03-10 04:00:00,136863,59.533,-169.606,18.0,14.4,0.48,1.0,0.0
2018-03-10 06:00:00,136863,59.535,-169.653,14.0,14.4,0.52,1.0,0.0
2018-03-10 07:00:00,136863,59.539,-169.65,13.0,14.4,0.48,1.0,0.0
2018-03-10 14:00:00,136863,59.58,-169.627,11.0,14.4,0.44,1.0,0.0
2018-03-10 16:00:00,136863,59.574,-169.608,14.0,14.4,0.44,1.0,0.0
2018-03-10 17:00:00,136863,59.57,-169.614,11.0,14.4,0.4,1.0,0.0
2018-03-10 18:00:00,136863,59.562,-169.612,13.0,14.4,0.44,1.0,0.0
2018-03-10 19:00:00,136863,59.561,-169.619,10.0,14.4,0.4,1.0,0.0
2018-03-10 20:00:00,136863,59.562,-169.63,9.0,14.4,0.4,1.0,0.0
2018-03-10 22:00:00,136863,59.568,-169.627,13.0,14.4,0.4,1.0,0.0
2018-03-11 00:00:00,136863,59.575,-169.595,11.0,14.4,0.36,1.0,0.0
2018-03-11 02:00:00,136863,59.568,-169.582,9.0,14.4,0.36,1.0,0.0
2018-03-11 03:00:00,136863,59.561,-169.574,8.0,14.4,0.36,1.0,0.0
2018-03-11 04:00:00,136863,59.561,-169.583,9.0,14.4,0.32,1.0,0.0
2018-03-11 05:00:00,136863,59.558,-169.597,9.0,14.4,0.36,1.0,0.0
2018-03-11 06:00:00,136863,59.558,-169.615,8.0,14.4,0.36,1.0,0.0
2018-03-11 07:00:00,136863,59.561,-169.626,9.0,14.4,0.36,1.0,0.0
2018-03-11 14:00:00,136863,59.611,-169.599,16.0,14.4,0.4,1.0,0.0
2018-03-11 15:00:00,136863,59.611,-169.583,11.0,14.4,0.4,1.0,0.0
2018-03-11 17:00:00,136863,59.604,-169.589,10.33,14.4,0.36,1.0,0.0
2018-03-11 18:00:00,136863,59.6,-169.6,12.0,14.4,0.36,1.0,0.0
2018-03-11 20:00:00,136863,59.603,-169.613,11.0,14.4,0.36,1.0,0.0
2018-03-11 21:00:00,136863,59.61,-169.619,13.5,14.4,0.36,1.0,0.0
2018-03-11 22:00:00,136863,59.618,-169.63,14.0,14.4,0.36,1.0,0.0
2018-03-11 23:00:00,136863,59.624,-169.625,14.0,14.4,0.36,1.0,0.0
2018-03-12 00:00:00,136863,59.634,-169.621,13.0,14.4,0.36,1.0,0.0
2018-03-12 03:00:00,136863,59.648,-169.637,16.0,14.4,0.36,1.0,0.0
2018-03-12 04:00:00,136863,59.651,-169.665,13.0,14.4,0.36,1.0,0.0
2018-03-12 06:00:00,136863,59.658,-169.686,17.0,14.4,0.32,1.0,0.0
2018-03-12 07:00:00,136863,59.662,-169.744,12.0,14.4,0.32,1.0,0.0
2018-03-12 13:00:00,136863,59.734,-169.814,11.0,14.4,0.32,1.0,0.0
2018-03-12 14:00:00,136863,59.747,-169.817,11.0,14.4,0.32,1.0,0.0
2018-03-12 15:00:00,136863,59.75,-169.808,11.0,14.4,0.32,1.0,0.0
2018-03-12 16:00:00,136863,59.756,-169.807,10.0,14.4,0.32,1.0,0.0
2018-03-12 17:00:00,136863,59.756,-169.814,10.0,14.4,0.32,1.0,0.0
2018-03-12 20:00:00,136863,59.762,-169.844,9.5,14.4,0.32,1.0,0.0
2018-03-12 23:00:00,136863,59.781,-169.874,10.0,14.4,0.32,1.0,0.0
2018-03-13 01:00:00,136863,59.804,-169.872,9.0,14.4,0.36,1.0,0.0
2018-03-13 03:00:00,136863,59.815,-169.87,10.0,14.4,0.32,1.0,0.0
2018-03-13 04:00:00,136863,59.823,-169.872,9.0,14.4,0.32,1.0,0.0
2018-03-13 06:00:00,136863,59.832,-169.88,9.0,14.4,0.32,1.0,0.0
2018-03-13 14:00:00,136863,59.915,-169.927,10.0,14.4,0.32,1.0,0.0
2018-03-13 15:00:00,136863,59.93,-169.913,7.0,14.4,0.32,1.0,0.0
2018-03-13 16:00:00,136863,59.931,-169.908,8.0,14.4,0.32,1.0,0.0
2018-03-13 17:00:00,136863,59.936,-169.89,8.0,14.4,0.28,1.0,0.0
2018-03-13 18:00:00,136863,59.934,-169.889,8.5,14.4,0.32,1.0,0.0
2018-03-13 19:00:00,136863,59.934,-169.886,7.0,14.4,0.32,1.0,0.0
2018-03-13 20:00:00,136863,59.925,-169.868,12.0,14.4,0.32,1.0,0.0
2018-03-13 22:00:00,136863,59.933,-169.9,9.0,14.4,0.32,1.0,0.0
2018-03-14 00:00:00,136863,59.939,-169.896,11.0,14.4,0.32,1.0,0.0
2018-03-14 01:00:00,136863,59.943,-169.898,11.0,14.4,0.32,1.0,0.0
2018-03-14 02:00:00,136863,59.954,-169.873,10.0,14.4,0.32,1.0,0.0
2018-03-14 03:00:00,136863,59.949,-169.866,9.0,14.4,0.28,1.0,0.0
2018-03-14 04:00:00,136863,59.951,-169.858,10.0,14.4,0.28,1.0,0.0
2018-03-14 05:00:00,136863,59.952,-169.841,12.0,14.4,0.28,1.0,0.0
