year_doy_hhmm,year_doy_hhmm,argosid,latitude,longitude,strain,voltage,sst,checksum
2019-01-01 00:27:00,2019-01-01 00:27:00,145469,61.310,174.497,30.0,9.2,0.36,True
2019-01-01 01:01:00,2019-01-01 01:01:00,145469,61.311,174.487,30.0,9.2,0.36,True
2019-01-01 01:15:00,2019-01-01 01:15:00,145469,61.308,174.493,30.0,9.2,0.36,True
2019-01-01 02:09:00,2019-01-01 02:09:00,145469,61.316,174.470,35.0,9.2,0.32,True
2019-01-01 02:09:00,2019-01-01 02:09:00,145469,61.312,174.464,35.0,9.2,0.36,True
2019-01-01 02:55:00,2019-01-01 02:55:00,145469,61.309,174.440,35.0,9.2,0.36,True
2019-01-01 03:49:00,2019-01-01 03:49:00,145469,61.309,174.439,35.0,9.2,0.32,True
2019-01-01 04:20:00,2019-01-01 04:20:00,145469,61.311,174.419,35.0,9.2,0.32,True
2019-01-01 04:32:00,2019-01-01 04:32:00,145469,61.309,174.414,35.0,9.2,0.32,True
2019-01-01 05:24:00,2019-01-01 05:24:00,145469,61.307,174.408,35.0,9.2,0.32,True
2019-01-01 05:30:00,2019-01-01 05:30:00,145469,61.307,174.415,35.0,9.2,0.32,True
2019-01-01 05:35:00,2019-01-01 05:35:00,145469,61.308,174.413,35.0,9.2,0.32,True
2019-01-01 05:55:00,2019-01-01 05:55:00,145469,61.306,174.402,28.0,9.2,0.32,True
2019-01-01 06:11:00,2019-01-01 06:11:00,145469,61.305,174.400,28.0,9.2,0.32,True
2019-01-01 06:52:00,2019-01-01 06:52:00,145469,61.305,174.398,28.0,9.2,0.32,True
2019-01-01 07:02:00,2019-01-01 07:02:00,145469,61.305,174.402,28.0,9.2,0.32,True
2019-01-01 07:11:00,2019-01-01 07:11:00,145469,61.301,174.405,28.0,9.2,0.32,True
2019-01-01 07:35:00,2019-01-01 07:35:00,145469,61.307,174.383,28.0,9.2,0.32,True
2019-01-01 07:58:00,2019-01-01 07:58:00,145469,61.305,174.402,28.0,9.2,0.32,True
